,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
25,1,0.7,1,M_M_N,2.0408850585124356,1.8376853057395817,2.2440848112852896,6.4230987306074505,600,-6.7228985009499125,1.7822006989598687e-11
26,1,0.7,1,M_M_N,2.007944673790846,1.833752419249878,2.182136928331814,7.879678907622908,1000,-6.7228985009499125,1.7822006989598687e-11
27,1,0.7,1,M_M_N,2.669749717748067,2.5306981498033707,2.8088012856927635,20.121143502816228,4000,-6.7228985009499125,1.7822006989598687e-11
28,1,0.7,1,M_M_N,2.535738147186491,2.44088210735359,2.630594187019392,16.390100455016288,7000,-6.7228985009499125,1.7822006989598687e-11
29,1,0.7,1,M_M_N,2.499113572692729,2.4248006938198663,2.573426451565592,14.37231882335682,10000,-6.7228985009499125,1.7822006989598687e-11
30,1,0.7,1,M_M_N,2.5293939237241223,2.4658175686768202,2.5929702787714244,13.675951160883042,13000,-6.7228985009499125,1.7822006989598687e-11
31,1,0.7,1,M_M_N,2.545007106465738,2.486728421715534,2.603285791215942,14.144173374115715,16000,-6.7228985009499125,1.7822006989598687e-11
32,1,0.7,1,M_M_N,2.450549479867277,2.3991123257119655,2.5019866340225887,13.084464320682295,19000,-6.7228985009499125,1.7822006989598687e-11
33,1,0.7,1,M_M_N,2.499113572692729,2.4248006938198663,2.573426451565592,14.37231882335682,10000,-6.7228985009499125,1.7822006989598687e-11
34,1,0.7,1,M_M_N,2.4668598309315954,2.4016055909686447,2.532114070894546,13.298875326957885,12000,-6.7228985009499125,1.7822006989598687e-11
35,1,0.7,1,M_M_N,2.5287870749069343,2.4679082041409885,2.58966594567288,13.504855073379966,14000,-6.7228985009499125,1.7822006989598687e-11
36,1,0.7,1,M_M_N,2.545007106465738,2.486728421715534,2.603285791215942,14.144173374115715,16000,-6.7228985009499125,1.7822006989598687e-11
37,1,0.7,1,M_M_N,2.4555621673238623,2.4022724151774075,2.508851919470317,13.3047069277262,18000,-6.7228985009499125,1.7822006989598687e-11
38,1,0.7,1,M_M_N,2.461587783533345,2.41111425891605,2.51206130815064,13.261984317574479,20000,-6.7228985009499125,1.7822006989598687e-11
39,1,0.7,1,M_M_N,2.463759601595087,2.41630269764223,2.511216505547944,12.89666777040914,22000,-6.7228985009499125,1.7822006989598687e-11
40,1,0.7,1,M_M_N,2.42610359564665,2.381589076177045,2.470618115116255,12.378688413267808,24000,-6.7228985009499125,1.7822006989598687e-11
41,1,0.7,1,M_M_N,2.4080106151868916,2.3658843073111413,2.450136923062642,12.010014267765616,26000,-6.7228985009499125,1.7822006989598687e-11
42,1,0.7,1,M_M_N,2.3636841992527438,2.3239018884439258,2.4034665100615618,11.534647118370511,28000,-6.7228985009499125,1.7822006989598687e-11
43,1,0.7,1,M_M_N,2.362446553650768,2.324259126659924,2.4006339806416124,11.387563762358461,30000,-6.7228985009499125,1.7822006989598687e-11
44,1,0.7,1,M_M_N,2.3323411582525404,2.295915060692473,2.3687672558126076,11.05213634827031,32000,-6.7228985009499125,1.7822006989598687e-11
45,1,0.7,1,M_M_N,2.3049299958023286,2.270093771391854,2.339766220212803,10.740239645134551,34000,-6.7228985009499125,1.7822006989598687e-11
