,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
21,1,0.7,1,M_M_1_K,2.0013529399597756,1.9742256554571376,2.0284802244624136,6.51275074163652,34000,-418.27171569323605,0.0
22,1,0.7,1,M_M_1_K,1.9862187537182108,1.9599508046334007,2.012486702803021,6.46590688450734,36000,-418.27171569323605,0.0
23,1,0.7,1,M_M_1_K,1.9862255305609464,1.9607241469771974,2.0117269141446954,6.432610199883313,38000,-418.27171569323605,0.0
24,1,0.7,1,M_M_1_K,0.8752187992775873,0.6351569108664654,1.1152806876887091,1.4637541016767763,100,-418.27171569323605,0.0
25,1,0.7,1,M_M_1_K,2.3898321289747253,2.1766958599205233,2.6029683980289273,7.066639971889467,600,-418.27171569323605,0.0
26,1,0.7,1,M_M_1_K,2.4929841892674145,2.312998590626494,2.672969787908335,8.412524730887018,1000,-418.27171569323605,0.0
27,1,0.7,1,M_M_1_K,2.2651878016610505,2.1776804699744456,2.3526951333476553,7.968741896046484,4000,-418.27171569323605,0.0
28,1,0.7,1,M_M_1_K,2.2178949883481605,2.1540016439311356,2.2817883327651853,7.4364023521027125,7000,-418.27171569323605,0.0
29,1,0.7,1,M_M_1_K,2.2263913036125356,2.1717642563148214,2.2810183509102497,7.766299302860785,10000,-418.27171569323605,0.0
30,1,0.7,1,M_M_1_K,2.15353264012192,2.106033611923511,2.2010316683203293,7.633711436624674,13000,-418.27171569323605,0.0
31,1,0.7,1,M_M_1_K,2.124316923488097,2.0816642421750777,2.1669696048011162,7.57618834707231,16000,-418.27171569323605,0.0
32,1,0.7,1,M_M_1_K,2.115338820492526,2.0767114946242917,2.15396614636076,7.378895655103888,19000,-418.27171569323605,0.0
33,1,0.7,1,M_M_1_K,2.2263913036125356,2.1717642563148214,2.2810183509102497,7.766299302860785,10000,-418.27171569323605,0.0
34,1,0.7,1,M_M_1_K,2.202515994597738,2.152273478819639,2.2527585103758367,7.883883506558997,12000,-418.27171569323605,0.0
35,1,0.7,1,M_M_1_K,2.1361923745681537,2.0908247387493843,2.181560010386923,7.4997890460678285,14000,-418.27171569323605,0.0
36,1,0.7,1,M_M_1_K,2.124316923488097,2.0816642421750777,2.1669696048011162,7.57618834707231,16000,-418.27171569323605,0.0
37,1,0.7,1,M_M_1_K,2.1186870770515687,2.0788879005085446,2.158486253594593,7.421062424571266,18000,-418.27171569323605,0.0
38,1,0.7,1,M_M_1_K,2.094513898843172,2.0571302444545725,2.1318975532317714,7.275196869133316,20000,-418.27171569323605,0.0
39,1,0.7,1,M_M_1_K,2.098964035700293,2.0631603095154247,2.1347677618851613,7.340660906647492,22000,-418.27171569323605,0.0
40,1,0.7,1,M_M_1_K,2.11644897899245,2.082076130996285,2.1508218269886146,7.380780455957895,24000,-418.27171569323605,0.0
41,1,0.7,1,M_M_1_K,2.0801888850198615,2.0477044311341803,2.1126733389055428,7.141474149374758,26000,-418.27171569323605,0.0
42,1,0.7,1,M_M_1_K,2.074703151110351,2.0433746524002,2.1060316498205016,7.153251055385425,28000,-418.27171569323605,0.0
43,1,0.7,1,M_M_1_K,2.0818541042313954,2.0517005055501665,2.1120077029126243,7.100163147822888,30000,-418.27171569323605,0.0
44,1,0.7,1,M_M_1_K,2.1012347633858006,2.0719062468450216,2.1305632799265797,7.164751538572475,32000,-418.27171569323605,0.0
45,1,0.7,1,M_M_1_K,2.1007444767478676,2.072351927461064,2.1291370260346714,7.13445149061812,34000,-418.27171569323605,0.0
46,1,0.7,1,M_M_1_K,2.0766832972974685,2.0493032046657227,2.1040633899292143,7.025009899792823,36000,-418.27171569323605,0.0
47,1,0.7,1,M_M_1_K,2.0653989936474786,2.038864442333009,2.091933544961948,6.964392578563024,38000,-418.27171569323605,0.0
48,1,0.7,1,M_M_1_K,3.388149711720599,2.844354711080052,3.9319447123611466,7.510902252392118,100,-418.27171569323605,0.0
49,1,0.7,1,M_M_1_K,1.9964211650522448,1.811166547127952,2.181675782976537,5.338710024630459,600,-418.27171569323605,0.0
50,1,0.7,1,M_M_1_K,1.6505865083332656,1.5209117123979556,1.7802613042685755,4.3667867781813845,1000,-418.27171569323605,0.0
51,1,0.7,1,M_M_1_K,1.9708426729067612,1.8936395903593937,2.0480457554541287,6.202548372866665,4000,-418.27171569323605,0.0
52,1,0.7,1,M_M_1_K,2.058585089517696,1.998374104517784,2.1187960745176078,6.603939725897185,7000,-418.27171569323605,0.0
53,1,0.7,1,M_M_1_K,2.0237574052536185,1.9730998774378756,2.0744149330693613,6.678618766800718,10000,-418.27171569323605,0.0
54,1,0.7,1,M_M_1_K,2.040347168165864,1.99555529704798,2.085139039283748,6.788357412312949,13000,-418.27171569323605,0.0
55,1,0.7,1,M_M_1_K,2.078190997061561,2.037232561313809,2.119149432809313,6.986261079532219,16000,-418.27171569323605,0.0
56,1,0.7,1,M_M_1_K,2.089342932372525,2.0514716021623367,2.1272142625827137,7.092889625542014,19000,-418.27171569323605,0.0
57,1,0.7,1,M_M_1_K,2.0237574052536185,1.9730998774378756,2.0744149330693613,6.678618766800718,10000,-418.27171569323605,0.0
58,1,0.7,1,M_M_1_K,2.0106211995984142,1.9647039671185471,2.0565384320782814,6.584894967714022,12000,-418.27171569323605,0.0
59,1,0.7,1,M_M_1_K,2.077363682050698,2.0334959721159827,2.1212313919854138,7.012077022845765,14000,-418.27171569323605,0.0
60,1,0.7,1,M_M_1_K,2.078190997061561,2.037232561313809,2.119149432809313,6.986261079532219,16000,-418.27171569323605,0.0
61,1,0.7,1,M_M_1_K,2.073071286579407,2.0345686626621977,2.1115739104966162,6.945420848864242,18000,-418.27171569323605,0.0
62,1,0.7,1,M_M_1_K,2.0718722019049705,2.0352517161338075,2.1084926876761334,6.981189805752522,20000,-418.27171569323605,0.0
63,1,0.7,1,M_M_1_K,2.0952262945657054,2.059940207540281,2.1305123815911298,7.129937293152343,22000,-418.27171569323605,0.0
64,1,0.7,1,M_M_1_K,2.0717901557836025,2.038190079817614,2.105390231749591,7.052640890093918,24000,-418.27171569323605,0.0
65,1,0.7,1,M_M_1_K,2.073075488322109,2.0408668816900883,2.10528409495413,7.020703030358986,26000,-418.27171569323605,0.0
66,1,0.7,1,M_M_1_K,2.0776686134339672,2.0466806237445176,2.108656603123417,6.9985989294422595,28000,-418.27171569323605,0.0
67,1,0.7,1,M_M_1_K,2.0660139332473495,2.0362372431916897,2.0957906233030092,6.923773751591927,30000,-418.27171569323605,0.0
68,1,0.7,1,M_M_1_K,2.047619173055395,2.018888268680172,2.076350077430618,6.875741404866447,32000,-418.27171569323605,0.0
69,1,0.7,1,M_M_1_K,2.040968121994494,2.0130657374361953,2.0688705065527926,6.890241637345903,34000,-418.27171569323605,0.0
70,1,0.7,1,M_M_1_K,2.040119843827992,2.013115037665963,2.0671246499900215,6.833752456418958,36000,-418.27171569323605,0.0
71,1,0.7,1,M_M_1_K,2.0596193052086167,2.0330890440318536,2.0861495663853797,6.962140738124666,38000,-418.27171569323605,0.0
72,1,0.7,1,M_M_1_K,1.3680430952341402,0.9887860336769863,1.7473001567912942,3.6533311558954744,100,-418.27171569323605,0.0
73,1,0.7,1,M_M_1_K,1.506633530721414,1.3597712477388482,1.65349581370398,3.3552029684874096,600,-418.27171569323605,0.0
74,1,0.7,1,M_M_1_K,1.6771007180180637,1.531177169392238,1.8230242666438894,5.529700442246504,1000,-418.27171569323605,0.0
75,1,0.7,1,M_M_1_K,2.1149914066981257,2.0307666982461288,2.1992161151501226,7.382099769636899,4000,-418.27171569323605,0.0
76,1,0.7,1,M_M_1_K,2.1549084907022484,2.0891904451976706,2.2206265362068263,7.867213106099052,7000,-418.27171569323605,0.0
77,1,0.7,1,M_M_1_K,2.078567203308701,2.025834286737083,2.131300119880319,7.237061355739413,10000,-418.27171569323605,0.0
78,1,0.7,1,M_M_1_K,2.0638398332217682,2.0178967418356266,2.10978292460791,7.141784133494005,13000,-418.27171569323605,0.0
79,1,0.7,1,M_M_1_K,2.1332612223070417,2.091174466414852,2.1753479781992313,7.37647694297129,16000,-418.27171569323605,0.0
80,1,0.7,1,M_M_1_K,2.1028793520602833,2.0649553827170055,2.140803321403561,7.112620806709948,19000,-418.27171569323605,0.0
81,1,0.7,1,M_M_1_K,2.078567203308701,2.025834286737083,2.131300119880319,7.237061355739413,10000,-418.27171569323605,0.0
82,1,0.7,1,M_M_1_K,2.1004885751614233,2.052285222277677,2.1486919280451695,7.256913365152895,12000,-418.27171569323605,0.0
83,1,0.7,1,M_M_1_K,2.110084174926606,2.0651963244861813,2.154972025367031,7.341999811111812,14000,-418.27171569323605,0.0
84,1,0.7,1,M_M_1_K,2.1332612223070417,2.091174466414852,2.1753479781992313,7.37647694297129,16000,-418.27171569323605,0.0
85,1,0.7,1,M_M_1_K,2.079890349296531,2.0408915448656857,2.1188891537273764,7.125584561506961,18000,-418.27171569323605,0.0
86,1,0.7,1,M_M_1_K,2.0969058865262284,2.0599008966742667,2.13391087637819,7.128560222189161,20000,-418.27171569323605,0.0
87,1,0.7,1,M_M_1_K,2.104604498717354,2.0692043230878885,2.14000467434682,7.1761175128733345,22000,-418.27171569323605,0.0
88,1,0.7,1,M_M_1_K,2.110678350945664,2.0766366492789063,2.144720052612422,7.239253335579765,24000,-418.27171569323605,0.0
89,1,0.7,1,M_M_1_K,2.0969308208315898,2.064455439747942,2.1294062019152373,7.13748552557634,26000,-418.27171569323605,0.0
90,1,0.7,1,M_M_1_K,2.0944042336364035,2.0631879176812515,2.1256205495915554,7.102113294087504,28000,-418.27171569323605,0.0
91,1,0.7,1,M_M_1_K,2.086984904530098,2.0569661446601653,2.117003664400031,7.036805072321595,30000,-418.27171569323605,0.0
92,1,0.7,1,M_M_1_K,2.0672419850229042,2.0383957473593277,2.0960882226864808,6.931054214592683,32000,-418.27171569323605,0.0
93,1,0.7,1,M_M_1_K,2.0603194721514333,2.0324983933185576,2.088140550984309,6.850144714665487,34000,-418.27171569323605,0.0
94,1,0.7,1,M_M_1_K,2.049388275349632,2.022564274599697,2.076212276099567,6.742550680622723,36000,-418.27171569323605,0.0
95,1,0.7,1,M_M_1_K,2.0529263950193166,2.0267244301227434,2.07912835991589,6.790902080512734,38000,-418.27171569323605,0.0
