,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
133,1,0.7,1,HYPEREXPONENTIAL,5065.663157150288,5021.862058082298,5109.464256218277,8988514.595650706,18000
134,1,0.7,1,HYPEREXPONENTIAL,5652.808049395707,5606.41377618412,5699.202322607293,11204951.868825274,20000
135,1,0.7,1,HYPEREXPONENTIAL,6225.417454800652,6176.91023254316,6273.924677058144,13473844.15851838,22000
136,1,0.7,1,HYPEREXPONENTIAL,6787.8992193166,6737.548279529598,6838.250159103601,15837492.204862682,24000
137,1,0.7,1,HYPEREXPONENTIAL,7352.739780610964,7300.514380259759,7404.965180962169,18458664.841010187,26000
138,1,0.7,1,HYPEREXPONENTIAL,7932.542582334118,7878.203303767495,7986.881860900742,21520484.118400626,28000
139,1,0.7,1,HYPEREXPONENTIAL,8510.38672229257,8454.061406045364,8566.712038539774,24772415.092821024,30000
140,1,0.7,1,HYPEREXPONENTIAL,8510.38672229257,8454.061406045364,8566.712038539774,24772415.092821024,32000
141,1,0.7,1,HYPEREXPONENTIAL,8510.38672229257,8454.061406045364,8566.712038539774,24772415.092821024,34000
142,1,0.7,1,HYPEREXPONENTIAL,8510.38672229257,8454.061406045364,8566.712038539774,24772415.092821024,36000
143,1,0.7,1,HYPEREXPONENTIAL,8510.38672229257,8454.061406045364,8566.712038539774,24772415.092821024,38000
144,1,0.7,1,HYPEREXPONENTIAL,19.198211511389115,16.88357392595954,21.51284909681869,136.07792893792285,100
145,1,0.7,1,HYPEREXPONENTIAL,115.99116919815982,110.2305728550426,121.75176554127705,5162.1799064250545,600
146,1,0.7,1,HYPEREXPONENTIAL,218.91629299519138,210.02730385011375,227.80528214026901,20518.971672887274,1000
147,1,0.7,1,HYPEREXPONENTIAL,503.8328332172816,488.89639855430545,518.7692678802576,116011.65677959824,2000
148,1,0.7,1,HYPEREXPONENTIAL,827.3319882897648,807.9502525616541,846.7137240178755,293129.6748479842,3000
149,1,0.7,1,HYPEREXPONENTIAL,1111.725707855827,1090.4117853188968,1133.0396303927573,472745.76160464186,4000
150,1,0.7,1,HYPEREXPONENTIAL,1423.1924973550933,1398.8124541979569,1447.5725405122298,773272.2655159631,5000
151,1,0.7,1,HYPEREXPONENTIAL,1740.8198967522678,1713.561781669751,1768.0780118347845,1160035.9418885333,6000
152,1,0.7,1,HYPEREXPONENTIAL,2054.0704961163906,2024.5366355115664,2083.604356721215,1588883.5853752063,7000
153,1,0.7,1,HYPEREXPONENTIAL,2364.4757525124596,2332.954709552862,2395.9967954720573,2068538.0928153333,8000
154,1,0.7,1,HYPEREXPONENTIAL,2673.440795461186,2640.092984276733,2706.788606645639,2604738.698487131,9000
