,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers,t_stat,p_value
41,1,0.7,1,M_M_N,2.0926300443887134,2.0568169266459835,2.1284431621314432,8.680025271083744,26000,-7.565648655729617,3.860117658756317e-14
42,1,0.7,1,M_M_N,2.077286183634995,2.042988538151099,2.1115838291188913,8.573396599295663,28000,-7.565648655729617,3.860117658756317e-14
43,1,0.7,1,M_M_N,2.1119988059869015,2.0783298674535584,2.1456677445202446,8.852152288819125,30000,-7.565648655729617,3.860117658756317e-14
44,1,0.7,1,M_M_N,2.1193751003217813,2.0868138445345887,2.151936356108974,8.831271431133107,32000,-7.565648655729617,3.860117658756317e-14
45,1,0.7,1,M_M_N,2.1121009216160944,2.0806704272515315,2.1435314159806573,8.74287434668089,34000,-7.565648655729617,3.860117658756317e-14
46,1,0.7,1,M_M_N,2.0843372488357175,2.054166544385315,2.11450795328612,8.529980051592636,36000,-7.565648655729617,3.860117658756317e-14
47,1,0.7,1,M_M_N,2.127215747150312,2.09691195786966,2.157519536430964,9.083508402556468,38000,-7.565648655729617,3.860117658756317e-14
48,1,0.7,1,M_M_N,0.9423051137764838,0.6065698448531057,1.2780403826998619,2.862962247679801,100,-7.565648655729617,3.860117658756317e-14
49,1,0.7,1,M_M_N,1.8133615384447785,1.6165619264047368,2.0101611504848202,6.024856719238543,600,-7.565648655729617,3.860117658756317e-14
50,1,0.7,1,M_M_N,1.5895379306146387,1.4513706452933954,1.7277052159358819,4.957483640488207,1000,-7.565648655729617,3.860117658756317e-14
51,1,0.7,1,M_M_N,1.9374089194596678,1.8600663580879053,2.01475148083143,6.224980265850946,4000,-7.565648655729617,3.860117658756317e-14
52,1,0.7,1,M_M_N,1.9400903894939039,1.8809884023610934,1.9991923766267143,6.362910330107796,7000,-7.565648655729617,3.860117658756317e-14
53,1,0.7,1,M_M_N,2.4269434127166476,2.3541206376164907,2.4997661878168045,13.801717061190963,10000,-7.565648655729617,3.860117658756317e-14
54,1,0.7,1,M_M_N,2.568424584102801,2.501306536816797,2.6355426313888053,15.242103838270657,13000,-7.565648655729617,3.860117658756317e-14
55,1,0.7,1,M_M_N,2.448515784152513,2.3912980783012943,2.505733490003732,13.633864352561465,16000,-7.565648655729617,3.860117658756317e-14
56,1,0.7,1,M_M_N,2.4338996171564395,2.3828602629300306,2.4849389713828485,12.882864053691836,19000,-7.565648655729617,3.860117658756317e-14
57,1,0.7,1,M_M_N,2.4269434127166476,2.3541206376164907,2.4997661878168045,13.801717061190963,10000,-7.565648655729617,3.860117658756317e-14
58,1,0.7,1,M_M_N,2.4083733204818945,2.344044488180421,2.4727021527833677,12.924352057142315,12000,-7.565648655729617,3.860117658756317e-14
59,1,0.7,1,M_M_N,2.550729864341696,2.4868172680233087,2.6146424606600833,14.884343088112653,14000,-7.565648655729617,3.860117658756317e-14
60,1,0.7,1,M_M_N,2.448515784152513,2.3912980783012943,2.505733490003732,13.633864352561465,16000,-7.565648655729617,3.860117658756317e-14
61,1,0.7,1,M_M_N,2.4243094479106935,2.3714709135202265,2.4771479823011604,13.080352189645446,18000,-7.565648655729617,3.860117658756317e-14
62,1,0.7,1,M_M_N,2.4392925344647023,2.3898180268021814,2.488767042127223,12.742193801455452,20000,-7.565648655729617,3.860117658756317e-14
63,1,0.7,1,M_M_N,2.3842956492429974,2.338200261053736,2.430391037432259,12.167284470848388,22000,-7.565648655729617,3.860117658756317e-14
64,1,0.7,1,M_M_N,2.347296929097192,2.3039445162583556,2.3906493419360286,11.740802964040933,24000,-7.565648655729617,3.860117658756317e-14
65,1,0.7,1,M_M_N,2.384045189197547,2.3420043551377554,2.4260860232573385,11.961327336490273,26000,-7.565648655729617,3.860117658756317e-14
66,1,0.7,1,M_M_N,2.394095338795889,2.353635420801358,2.4345552567904205,11.9309299762772,28000,-7.565648655729617,3.860117658756317e-14
67,1,0.7,1,M_M_N,2.366811174968919,2.328314983249325,2.4053073666885134,11.572456694515669,30000,-7.565648655729617,3.860117658756317e-14
68,1,0.7,1,M_M_N,2.392880839065787,2.355631457281115,2.430130220850459,11.557371669996131,32000,-7.565648655729617,3.860117658756317e-14
69,1,0.7,1,M_M_N,2.3668400702916457,2.331237583982902,2.4024425566003895,11.21792336710672,34000,-7.565648655729617,3.860117658756317e-14
70,1,0.7,1,M_M_N,2.349199906490753,2.314966053541949,2.383433759439557,10.982182995468586,36000,-7.565648655729617,3.860117658756317e-14
71,1,0.7,1,M_M_N,2.336587482744739,2.3036312479655514,2.3695437175239267,10.743231237129143,38000,-7.565648655729617,3.860117658756317e-14
72,1,0.7,1,M_M_N,2.7193517990613234,2.165572804255581,3.273130793867066,7.789232122067851,100,-7.565648655729617,3.860117658756317e-14
73,1,0.7,1,M_M_N,2.170433869557412,1.9674931276996264,2.3733746114151972,6.406734612442576,600,-7.565648655729617,3.860117658756317e-14
74,1,0.7,1,M_M_N,2.0873998226603256,1.9395575400982685,2.2352421052223828,5.676075431892633,1000,-7.565648655729617,3.860117658756317e-14
75,1,0.7,1,M_M_N,2.0625694030809263,1.9810909821105371,2.1440478240513157,6.908536963334006,4000,-7.565648655729617,3.860117658756317e-14
