,n,rho,mu,distribution,mean_waiting_time,ci_lower,ci_upper,variance,number_of_customers
0,1,0.7,1,HYPEREXPONENTIAL,1.101142030251129,0.7742519009552811,1.428032159546977,2.7140966106920836,100
1,1,0.7,1,HYPEREXPONENTIAL,1.7822237430139254,1.5885062514932753,1.9759412345345755,5.8376213361604625,600
2,1,0.7,1,HYPEREXPONENTIAL,1.4714428931578014,1.3391332177006312,1.6037525686149716,4.546048330350974,1000
3,1,0.7,1,HYPEREXPONENTIAL,1.340930817996541,1.2787975577040471,1.4030640782890347,4.017437816461497,4000
4,1,0.7,1,HYPEREXPONENTIAL,1.3046218209898226,1.257160862917868,1.352082779061777,4.103218448003487,7000
5,1,0.7,1,HYPEREXPONENTIAL,1.3164070041948228,1.2769310597576777,1.355882948631968,4.055680441718436,10000
6,1,0.7,1,HYPEREXPONENTIAL,1.2763450430043919,1.2425603603676532,1.3101297256411306,3.8619440509613394,13000
7,1,0.7,1,HYPEREXPONENTIAL,1.2760658049044318,1.2453392259442944,1.3067923838645692,3.9317555281873156,16000
8,1,0.7,1,HYPEREXPONENTIAL,1.260119443308804,1.2315714387414036,1.2886674478762046,4.030450552216108,19000
9,1,0.7,1,HYPEREXPONENTIAL,1.3164070041948228,1.2769310597576777,1.355882948631968,4.055680441718436,10000
10,1,0.7,1,HYPEREXPONENTIAL,1.2583802028278535,1.2234567035209307,1.2933037021347762,3.809192755268656,12000
11,1,0.7,1,HYPEREXPONENTIAL,1.2907773893722219,1.2579868398475178,1.323567938896926,3.9179071675038695,14000
12,1,0.7,1,HYPEREXPONENTIAL,1.2760658049044318,1.2453392259442944,1.3067923838645692,3.9317555281873156,16000
13,1,0.7,1,HYPEREXPONENTIAL,1.275118952687491,1.245658316658933,1.3045795887160492,4.066325585598555,18000
14,1,0.7,1,HYPEREXPONENTIAL,1.2403755847321156,1.2128314905379711,1.2679196789262601,3.9494646750851734,20000
15,1,0.7,1,HYPEREXPONENTIAL,1.2282715164997138,1.202424493174569,1.2541185398248587,3.8256019314675362,22000
16,1,0.7,1,HYPEREXPONENTIAL,1.2496844553009205,1.224119848323234,1.275249062278607,4.082719029398304,24000
17,1,0.7,1,HYPEREXPONENTIAL,1.2579498388013735,1.2333085965860673,1.2825910810166796,4.109243945264943,26000
18,1,0.7,1,HYPEREXPONENTIAL,1.2746894170960597,1.2506323925402245,1.2987464416518948,4.218015034665594,28000
19,1,0.7,1,HYPEREXPONENTIAL,1.2720335753131358,1.2487687087315065,1.295298441894765,4.22660010788173,30000
20,1,0.7,1,HYPEREXPONENTIAL,1.2567942092862554,1.2344470877279916,1.2791413308445192,4.159720245989495,32000
21,1,0.7,1,HYPEREXPONENTIAL,1.2483358913251783,1.2268693110127549,1.2698024716376017,4.078284735914253,34000
22,1,0.7,1,HYPEREXPONENTIAL,1.2365253548272181,1.2157708931179483,1.257279816536488,4.036454508465946,36000
23,1,0.7,1,HYPEREXPONENTIAL,1.2298868940130374,1.2098251256613946,1.2499486623646803,3.981054932321932,38000
24,1,0.7,1,HYPEREXPONENTIAL,1.3079625217013666,0.9618655313418363,1.654059512060897,3.0424071586945844,100
25,1,0.7,1,HYPEREXPONENTIAL,1.062380342744543,0.9303594390722909,1.1944012464167952,2.711337929296248,600
26,1,0.7,1,HYPEREXPONENTIAL,0.973836827344175,0.8814243954083887,1.0662492592799613,2.2177451536944184,1000
27,1,0.7,1,HYPEREXPONENTIAL,1.0477113031380691,0.9958078337435718,1.0996147725325665,2.8034554216955434,4000
28,1,0.7,1,HYPEREXPONENTIAL,1.134644961626978,1.0915340879318902,1.1777558353220658,3.3855192366791016,7000
29,1,0.7,1,HYPEREXPONENTIAL,1.28620927768336,1.2448461315191575,1.3275724238475626,4.45272423826977,10000
30,1,0.7,1,HYPEREXPONENTIAL,1.2748890275811304,1.2393784301952815,1.3103996249669794,4.266603126144699,13000
31,1,0.7,1,HYPEREXPONENTIAL,1.2981560102682113,1.2657816844406544,1.330530336095768,4.3647518114188,16000
32,1,0.7,1,HYPEREXPONENTIAL,1.2840092824324154,1.2544050315692254,1.3136135332956054,4.33421283270366,19000
33,1,0.7,1,HYPEREXPONENTIAL,1.28620927768336,1.2448461315191575,1.3275724238475626,4.45272423826977,10000
34,1,0.7,1,HYPEREXPONENTIAL,1.2876843832304,1.2504501878955472,1.3249185785652526,4.32993511966776,12000
35,1,0.7,1,HYPEREXPONENTIAL,1.2738559842900943,1.2397161468838067,1.3079958216963818,4.24697445183434,14000
