,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
50,1,0.9,1,M_M_N,4.347417012020034,3.9630231443242985,4.101492856608427,4.593341167431641,15.705552442450049,1000
51,1,0.9,1,M_M_N,13.28419468719839,14.352324783260904,12.839285048363992,13.729104326032788,205.98922668420516,4000
52,1,0.9,1,M_M_N,9.811422467384523,12.401831795654838,9.520846281887593,10.101998652881452,153.8054318877153,7000
53,1,0.9,1,M_M_N,8.78149735084921,11.002303422208046,8.565830060139632,8.997164641558786,121.05068059433087,10000
54,1,0.9,1,M_M_N,8.477375046147097,10.345753715933625,8.299514758459871,8.655235333834323,107.03461995075443,13000
55,1,0.9,1,M_M_N,8.058841236315661,9.681423729106847,7.908817428327388,8.208865044303934,93.72996542251312,16000
56,1,0.9,1,M_M_N,7.844306675981214,9.33230025859307,7.711601561103261,7.977011790859167,87.09182811653629,19000
57,1,0.9,1,M_M_N,8.78149735084921,11.002303422208046,8.565830060139632,8.997164641558786,121.05068059433087,10000
58,1,0.9,1,M_M_N,8.681683567191188,10.601263334021693,8.491987249419797,8.871379884962579,112.38678427727277,12000
59,1,0.9,1,M_M_N,8.29965313582335,10.090813868873019,8.132487186258652,8.466819085388048,101.82452453624005,14000
60,1,0.9,1,M_M_N,8.058841236315661,9.681423729106847,7.908817428327388,8.208865044303934,93.72996542251312,16000
61,1,0.9,1,M_M_N,7.866404275386469,9.400817479381612,7.729061232587894,8.003747318185045,88.37536928064685,18000
62,1,0.9,1,M_M_N,7.824001751586236,9.260958423285105,7.695646006382896,7.952357496789576,85.76535091781535,20000
63,1,0.9,1,M_M_N,7.664065975470847,9.011019154405114,7.544987145549515,7.783144805392179,81.19846620105585,22000
64,1,0.9,1,M_M_N,7.569179990227304,8.776583749354888,7.458137325466981,7.6802226549876265,77.02842230944032,24000
65,1,0.9,1,M_M_N,8.221228162107446,9.28695329945898,8.108338311736235,8.334118012478656,86.24750158633205,26000
66,1,0.9,1,M_M_N,9.026019021037278,10.214141199637481,8.906375356348688,9.145662685725869,104.3286804461318,28000
67,1,0.9,1,M_M_N,9.001151574936504,10.123379521802162,8.886592234357755,9.115710915515253,102.48281294244339,30000
68,1,0.9,1,M_M_N,8.76280162433585,9.960832116333002,8.653661322687155,8.871941925984546,99.21817644977098,32000
69,1,0.9,1,M_M_N,10.020868210077861,12.647370307428464,9.886429502643178,10.155306917512544,159.95597569322314,34000
70,1,0.9,1,M_M_N,9.887726926429458,12.414828448902878,9.759478464447206,10.01597538841171,154.12796541568824,36000
71,1,0.9,1,M_M_N,9.807241420293622,12.233986194313065,9.68423207347891,9.930250767108333,149.67041820264268,38000
72,1,0.95,1,M_M_N,1.4757901815473482,1.9508218446985064,1.0887048041849265,1.8628755589097699,3.8057058697528836,100
73,1,0.95,1,M_M_N,10.857546643064776,9.715801637330921,10.078560888332492,11.63653239779706,94.39680145596222,600
74,1,0.95,1,M_M_N,7.218508358194541,8.849217557218006,6.669372944506853,7.767643771882228,78.30865137497543,1000
75,1,0.95,1,M_M_N,21.39082991666926,18.22859335159776,20.825759309155053,21.95590052418347,332.281615577914,4000
76,1,0.95,1,M_M_N,17.728429864374576,15.825591577030702,17.357634637551946,18.099225091197205,250.4493487629851,7000
77,1,0.95,1,M_M_N,16.432502694592216,14.459524753460647,16.149066907661236,16.715938481523196,209.0778560959412,10000
78,1,0.95,1,M_M_N,14.277693254688446,13.597462019014076,14.043930826843939,14.511455682532953,184.89097335853035,13000
79,1,0.95,1,M_M_N,14.053930977337156,13.546499117866613,13.844013775132474,14.263848179541839,183.5076383503609,16000
80,1,0.95,1,M_M_N,14.5635392396227,13.50260584064625,14.371532466417483,14.755546012827919,182.32036448785422,19000
81,1,0.95,1,M_M_N,16.432502694592216,14.459524753460647,16.149066907661236,16.715938481523196,209.0778560959412,10000
82,1,0.95,1,M_M_N,14.838849177500041,13.87237508895362,14.590620415492696,15.087077939507386,192.44279060862095,12000
83,1,0.95,1,M_M_N,14.332352639479007,13.62334175928887,14.106666298314707,14.558038980643307,185.59544069038398,14000
84,1,0.95,1,M_M_N,14.053930977337156,13.546499117866613,13.844013775132474,14.263848179541839,183.5076383503609,16000
85,1,0.95,1,M_M_N,14.03382685998118,13.174670757466858,13.841348985193322,14.22630473476904,173.57194956765235,18000
86,1,0.95,1,M_M_N,14.264179987227449,13.32311213014566,14.079523291048709,14.448836683406189,177.50531683243443,20000
87,1,0.95,1,M_M_N,14.341245042107682,13.421053818805664,14.163888479251712,14.518601604963651,180.1246856072781,22000
