,n,rho,mu,distribution,mean_waiting_time,std_dev,ci_lower,ci_upper,variance,number_of_customers
38,1,0.8,1,M_D_N,1.8871279855030676,2.043253683901944,1.858808740642051,1.9154472303640842,4.174885616778866,20000
39,1,0.8,1,M_D_N,1.9306096475797214,2.115365437836971,1.9026555131053196,1.9585637820541233,4.4747709355952,22000
40,1,0.8,1,M_D_N,1.9132050798966713,2.0929339571727565,1.8867249629845628,1.9396851968087798,4.380372549086814,24000
41,1,0.8,1,M_D_N,1.9183290170021137,2.109019520989539,1.8926923102720024,1.943965723732225,4.447963339914945,26000
42,1,0.8,1,M_D_N,1.9458330306541096,2.1641625625711174,1.92048304430606,1.9711830170021591,4.6835995972343865,28000
43,1,0.8,1,M_D_N,1.941952002817524,2.1547206870080946,1.917568507117948,1.9663354985170998,4.642821239020636,30000
44,1,0.8,1,M_D_N,1.9756407007621624,2.193623769964934,1.951605283122189,1.9996761184021357,4.81198524415517,32000
45,1,0.8,1,M_D_N,1.951062682586072,2.178792610345811,1.9279026062078952,1.9742227589642487,4.747137238897512,34000
46,1,0.8,1,M_D_N,1.9643312845944585,2.1836446684347117,1.9417736575281541,1.9868889116607629,4.768304037983342,36000
47,1,0.8,1,M_D_N,1.9905888006221404,2.2344273150279608,1.9681222520940485,2.0130553491502323,4.992665426143062,38000
48,1,0.9,1,M_D_N,3.212995418315304,2.8884796923963045,2.6398583813411705,3.7861324552894375,8.34331493338585,100
49,1,0.9,1,M_D_N,13.46877083297402,10.418909399388001,12.633411867761634,14.304129798186406,108.55367307265566,600
50,1,0.9,1,M_D_N,9.496913321863968,9.681837266465458,8.896109953859892,10.097716689868044,93.73797285431932,1000
51,1,0.9,1,M_D_N,5.038257749837111,6.3325342975856715,4.841954670733772,5.234560828940451,40.100990630098856,4000
52,1,0.9,1,M_D_N,4.418985253244921,5.504903695485908,4.290004797476872,4.547965709012971,30.303964696574404,7000
53,1,0.9,1,M_D_N,4.307432335245997,5.162914903977855,4.206228812058527,4.408635858433466,26.655690305716664,10000
54,1,0.9,1,M_D_N,4.092267300399745,4.790042491252657,4.009918700295711,4.174615900503778,22.944507068005958,13000
55,1,0.9,1,M_D_N,4.186676279511555,4.680259839819687,4.114150747813841,4.259201811209269,21.904832168229003,16000
56,1,0.9,1,M_D_N,4.1022024697810755,4.514739984233154,4.038002961444417,4.166401978117734,20.382877125233584,19000
57,1,0.9,1,M_D_N,4.307432335245997,5.162914903977855,4.206228812058527,4.408635858433466,26.655690305716664,10000
58,1,0.9,1,M_D_N,4.194119355344462,4.915566243964711,4.106161459491712,4.282077251197212,24.162791498805337,12000
59,1,0.9,1,M_D_N,4.076501406533857,4.673609603454219,3.999077682599548,4.153925130468165,21.842626725499503,14000
60,1,0.9,1,M_D_N,4.186676279511555,4.680259839819687,4.114150747813841,4.259201811209269,21.904832168229003,16000
61,1,0.9,1,M_D_N,4.107730750491384,4.581726021251698,4.040793146989532,4.174668353993235,20.992213333814917,18000
62,1,0.9,1,M_D_N,4.120793975412719,4.485059841161439,4.058631597408042,4.182956353417397,20.115761778799072,20000
63,1,0.9,1,M_D_N,4.154851522966853,4.541479319406424,4.094836775001028,4.214866270932678,20.625034408596232,22000
64,1,0.9,1,M_D_N,4.2848292529375485,4.660131693531436,4.2258685620626055,4.343789943812491,21.716827401056168,24000
65,1,0.9,1,M_D_N,4.276432258396709,4.599707997647927,4.220519373851895,4.332345142941524,21.157313663626304,26000
66,1,0.9,1,M_D_N,4.266373218718288,4.579016657723193,4.212736762858489,4.3200096745780865,20.967393551706483,28000
67,1,0.9,1,M_D_N,4.274362248281883,4.5624844222046566,4.222731742314688,4.325992754249078,20.816264102860156,30000
68,1,0.9,1,M_D_N,4.515653009767631,4.983947274648432,4.461044167594254,4.570261851941007,24.839730436475527,32000
69,1,0.9,1,M_D_N,4.456025841188023,4.913194774601057,4.403799683590325,4.50825199878572,24.139482893167134,34000
70,1,0.9,1,M_D_N,4.415505615750528,4.8607069629286475,4.365293227016545,4.465718004484511,23.626472179463033,36000
71,1,0.9,1,M_D_N,4.348581498644527,4.804110043067948,4.300277501154445,4.396885496134608,23.079473305906323,38000
72,1,0.95,1,M_D_N,10.100713554457492,3.6770893729388474,9.371099247857723,10.830327861057262,13.520986256579807,100
73,1,0.95,1,M_D_N,5.375909338490761,4.375631077206175,5.025083497830239,5.726735179151283,19.146147323812475,600
74,1,0.95,1,M_D_N,4.04662124538015,3.929599950057056,3.802771155781936,4.290471334978363,15.44175576748842,1000
75,1,0.95,1,M_D_N,5.531070708315489,4.6865710536444105,5.3857910643319205,5.676350352299057,21.963948240857682,4000
76,1,0.95,1,M_D_N,6.918586048165654,5.721775319757738,6.784524268093117,7.052647828238191,32.73871280978876,7000
77,1,0.95,1,M_D_N,8.751373101724582,7.773068276414261,8.599005319148159,8.903740884301005,60.42059042979777,10000
78,1,0.95,1,M_D_N,9.067235491267576,7.854557257278967,8.932202911545147,9.202268070990005,61.69406970787369,13000
79,1,0.95,1,M_D_N,10.843715090682391,9.778265191393748,10.692190622734389,10.995239558630393,95.61447015322263,16000
80,1,0.95,1,M_D_N,11.320802499319152,10.195807265753194,11.175818332823932,11.465786665814372,103.95448580038561,19000
81,1,0.95,1,M_D_N,8.751373101724582,7.773068276414261,8.599005319148159,8.903740884301005,60.42059042979777,10000
82,1,0.95,1,M_D_N,9.054030768961324,7.931777341197155,8.91210155660236,9.195959981320287,62.913091790328615,12000
83,1,0.95,1,M_D_N,9.978912446650812,8.611229634993476,9.836257513405657,10.121567379895966,74.15327582658989,14000
84,1,0.95,1,M_D_N,10.843715090682391,9.778265191393748,10.692190622734389,10.995239558630393,95.61447015322263,16000
85,1,0.95,1,M_D_N,11.551564053173099,10.340331027808112,11.400495007314216,11.702633099031981,106.92244576465116,18000
86,1,0.95,1,M_D_N,12.194053440070041,10.939464792024026,12.042433802951763,12.34567307718832,119.67188993593328,20000
87,1,0.95,1,M_D_N,11.740761456035475,10.929284218429666,11.596333133965818,11.885189778105133,119.44925352721577,22000
88,1,0.95,1,M_D_N,11.471736847472533,10.77196010589159,11.33544837931566,11.608025315629407,116.03512452291997,24000
89,1,0.95,1,M_D_N,11.829234596895063,11.256786334707135,11.69239995543522,11.966069238354905,126.71523858524928,26000
90,1,0.95,1,M_D_N,12.18259902650122,11.524957009252475,12.047601079535854,12.317596973466587,132.82463406511775,28000
91,1,0.95,1,M_D_N,12.112128799484065,11.441142884856118,11.98265723501949,12.24160036394864,130.89975051169378,30000
92,1,0.95,1,M_D_N,12.52261755253861,12.003409088448924,12.391096844888304,12.654138260188917,144.08182974465825,32000
93,1,0.95,1,M_D_N,12.224533732820898,11.842399300071065,12.09865168650398,12.350415779137817,140.24242118232365,34000
94,1,0.95,1,M_D_N,12.039727850542533,11.667234798085095,11.91920222873481,12.160253472350258,136.12436783364774,36000
95,1,0.95,1,M_D_N,11.904880343704427,11.463448655379157,11.789618538684762,12.020142148724092,131.41065507451418,38000
96,2,0.7,1,M_D_N,0.7868627867618505,0.6106750947963069,0.6656915992659501,0.9080339742577509,0.3729240714044784,100
97,2,0.7,1,M_D_N,0.6223106945865807,0.7178565548657514,0.564754967220451,0.6798664219527104,0.5153180333637256,600
98,2,0.7,1,M_D_N,0.5595317996569282,0.7209781422478833,0.5147917276852387,0.6042718716286177,0.519809481599209,1000
99,2,0.7,1,M_D_N,0.4833015770292919,0.6806060482836843,0.462203378953147,0.5043997751054368,0.46322459296033286,4000
100,2,0.7,1,M_D_N,0.4938592915128277,0.6747741213361576,0.47804926493928557,0.5096693180863698,0.4553201148249834,7000
101,2,0.7,1,M_D_N,0.5021306182590752,0.6863457044845067,0.488676861086959,0.5155843754311914,0.4710704260643338,10000
102,2,0.7,1,M_D_N,0.5047563637032668,0.696188994168013,0.49278774564147204,0.5167249817650617,0.48467911560066973,13000
103,2,0.7,1,M_D_N,0.4952759692677787,0.6887146456222328,0.48460361397741963,0.5059483245581379,0.47432786309455777,16000
104,2,0.7,1,M_D_N,0.4965573207451219,0.6919458427621566,0.48671786530448463,0.5063967761857591,0.47878904931583127,19000
105,2,0.7,1,M_D_N,0.5021306182590752,0.6863457044845067,0.488676861086959,0.5155843754311914,0.4710704260643338,10000
106,2,0.7,1,M_D_N,0.5114679539667837,0.7050557055583274,0.49885186596348846,0.524084041970079,0.49710354794035094,12000
107,2,0.7,1,M_D_N,0.5013865054224262,0.6962385172148986,0.4898525127865335,0.512920498058319,0.4847480728536006,14000
108,2,0.7,1,M_D_N,0.4952759692677787,0.6887146456222328,0.48460361397741963,0.5059483245581379,0.47432786309455777,16000
109,2,0.7,1,M_D_N,0.48804181976293676,0.6790697297446733,0.478120820534934,0.4979628189909395,0.4611356978555036,18000
110,2,0.7,1,M_D_N,0.5001853970597984,0.696583149984551,0.49053084023903243,0.5098399538805644,0.4852280848423994,20000
111,2,0.7,1,M_D_N,0.4903644103672799,0.6877604741158542,0.48127579218541533,0.4994530285491445,0.47301446975606454,22000
112,2,0.7,1,M_D_N,0.4888122177076134,0.6873450205042225,0.48011582457034774,0.4975086108448791,0.4724431772119501,24000
113,2,0.7,1,M_D_N,0.48835949399066914,0.685298263496052,0.4800291820001667,0.4966898059811716,0.46963370995070436,26000
114,2,0.7,1,M_D_N,0.4902376672555005,0.6854654387300331,0.4822084462466951,0.4982668882643059,0.4698628676933567,28000
115,2,0.7,1,M_D_N,0.4940175180271443,0.6922317751334532,0.48618400595578926,0.5018510300984993,0.4791848305044118,30000
116,2,0.7,1,M_D_N,0.49958331109515725,0.6997856268993832,0.49191579762668036,0.5072508245636341,0.48969992361496273,32000
117,2,0.7,1,M_D_N,0.5017045950697457,0.7054338581447812,0.49420599150518163,0.5092031986343099,0.49763692821703126,34000
118,2,0.7,1,M_D_N,0.5020020473278225,0.705718952255466,0.49471178386659126,0.5092923107890537,0.4980392395725527,36000
