n,rho,mu,type,mean_waiting_time,ci_lower,ci_upper,variance,runs
1,0.5,1,M_D_1,0.5031201087091228,0.5003735284336239,0.5058666889846217,0.589462979573938,10
1,0.5,1,M_D_1,0.49940933300227475,0.4976853293493206,0.5011333366552289,0.5801594668957339,25
1,0.5,1,M_D_1,0.5010717287621113,0.49985069126737564,0.5022927662568468,0.5824237593367595,50
1,0.5,1,M_D_1,0.4996818308523076,0.49868348938406476,0.5006801723205505,0.5838605517566258,75
1,0.5,1,M_D_1,0.5000559485455329,0.49919115112551304,0.5009207459655528,0.5838706819031895,100
1,0.5,1,M_D_1,0.4996774771255306,0.49890562907066943,0.5004493251803919,0.5821277201189605,125
1,0.5,1,M_D_1,0.4993973967492557,0.49869302024517526,0.5001017732533362,0.5807641276226003,150
2,0.5,1,M_D_1,0.17583264354885692,0.17494154985167362,0.1767237372460402,0.1239258484700455,10
2,0.5,1,M_D_1,0.17630926198532815,0.17574124800613694,0.17687727596451935,0.1260084194597713,25
2,0.5,1,M_D_1,0.17640710413463723,0.17600764696307877,0.17680656130619568,0.12471823799017842,50
2,0.5,1,M_D_1,0.17682531821781808,0.17649840714688406,0.1771522292887521,0.12523788499290317,75
2,0.5,1,M_D_1,0.17739979690415572,0.17711549675351848,0.17768409705479296,0.1263207955407866,100
2,0.5,1,M_D_1,0.1769453883041595,0.17669157816231218,0.17719919844600684,0.12577779071040218,125
2,0.5,1,M_D_1,0.1768267675487092,0.17659534552304632,0.1770581895743721,0.12550492688629564,150
4,0.5,1,M_D_1,0.049667474024458313,0.049401434974927515,0.04993351307398911,0.022101578648325897,10
4,0.5,1,M_D_1,0.04948395280306857,0.04931650950414139,0.049651396101995746,0.02188162750482438,25
4,0.5,1,M_D_1,0.04955949314636571,0.04944106628964668,0.049677920003084734,0.021908057082840073,50
4,0.5,1,M_D_1,0.04967381037027465,0.04957673634201401,0.04977088439853529,0.022080444092848574,75
4,0.5,1,M_D_1,0.049702800326834544,0.049618778624921596,0.04978682202874749,0.022044755542153762,100
4,0.5,1,M_D_1,0.04958287449124784,0.049507750710952224,0.049657998271543456,0.022035362373024323,125
4,0.5,1,M_D_1,0.049623910484789494,0.04955549060237606,0.04969233036720293,0.021941082924394596,150
1,0.6,1,M_D_1,0.7577036700228801,0.7542861258667684,0.7611212141789918,1.0954430772583188,10
1,0.6,1,M_D_1,0.7437090867071531,0.7416032013369025,0.7458149720774037,1.0386364260366319,25
1,0.6,1,M_D_1,0.7437987905296084,0.7423098277393946,0.7452877533198222,1.0376709146220806,50
1,0.6,1,M_D_1,0.7498959876506103,0.7486652807490324,0.7511266945521882,1.0643956991903458,75
1,0.6,1,M_D_1,0.7480831964619428,0.7470202580454507,0.7491461348784348,1.0585402387576615,100
1,0.6,1,M_D_1,0.7486950074158771,0.7477448009568303,0.749645213874924,1.0570279583305222,125
1,0.6,1,M_D_1,0.7482860030067786,0.7474185172740966,0.7491534887394606,1.0570767564962342,150
2,0.6,1,M_D_1,0.29189798609735923,0.29075978983705497,0.2930361823576635,0.24279762345615946,10
2,0.6,1,M_D_1,0.2929290175794455,0.29220874308989947,0.29364929206899154,0.24294394566031594,25
2,0.6,1,M_D_1,0.29113567720188027,0.2906291114898865,0.29164224291387403,0.2403685618269725,50
2,0.6,1,M_D_1,0.29186158565549547,0.29144719454890694,0.292275976762084,0.24127418130149536,75
2,0.6,1,M_D_1,0.29198209467787695,0.2916227940485933,0.2923413953071606,0.24178816181042395,100
2,0.6,1,M_D_1,0.2925603174901637,0.29223850559178305,0.29288212938854435,0.24256811257469094,125
2,0.6,1,M_D_1,0.29272291341570816,0.29242916101221855,0.2930166658191978,0.2426036723680707,150
4,0.6,1,M_D_1,0.09937168998417897,0.09900740353247794,0.09973597643588,0.0498291953975168,10
4,0.6,1,M_D_1,0.09843629215196112,0.09820636250103576,0.09866622180288648,0.04950792575900679,25
4,0.6,1,M_D_1,0.09773711978277805,0.09757520110595685,0.09789903845959924,0.04910966042825872,50
4,0.6,1,M_D_1,0.09828165699133982,0.09814910767025176,0.0984142063124279,0.0493589444552275,75
4,0.6,1,M_D_1,0.09797626881485283,0.0978620140938002,0.09809052353590546,0.04893453327771125,100
4,0.6,1,M_D_1,0.09824267408499089,0.09814018358978531,0.09834516458019647,0.04920147731962731,125
4,0.6,1,M_D_1,0.09855943862972982,0.09846555142220903,0.09865332583725062,0.0495635290264388,150
1,0.7,1,M_D_1,1.1660125175196154,1.1615685958389894,1.1704564392002414,2.160217060322022,10
1,0.7,1,M_D_1,1.1634806840106904,1.1607034537099146,1.1662579143114662,2.109197701390965,25
1,0.7,1,M_D_1,1.1580870029303545,1.156123160691164,1.160050845169545,2.106710152193426,50
1,0.7,1,M_D_1,1.1678651808374463,1.1662443531571816,1.169486008517711,2.1529473956113176,75
1,0.7,1,M_D_1,1.1629587882637822,1.161566119689594,1.1643514568379705,2.120438398823604,100
1,0.7,1,M_D_1,1.1635758240486191,1.1623291600961596,1.1648224880010787,2.123260507375447,125
1,0.7,1,M_D_1,1.1654458382595072,1.1643067045722917,1.1665849719467227,2.127870847020099,150
2,0.7,1,M_D_1,0.49275398683963606,0.4912317043427335,0.4942762693365386,0.5062961259913804,10
2,0.7,1,M_D_1,0.4940285510426095,0.49306544947106784,0.4949916526141512,0.5072430254130122,25
2,0.7,1,M_D_1,0.4930300725802642,0.4923486805262261,0.4937114646343023,0.5078444338626427,50
2,0.7,1,M_D_1,0.4941632558261204,0.4936025554382994,0.49472395621394144,0.5156760723378948,75
2,0.7,1,M_D_1,0.49489238451546025,0.4944059038582148,0.4953788651727057,0.5175644473525545,100
2,0.7,1,M_D_1,0.4937737837794489,0.49334188269061613,0.4942056848682817,0.5100155374657969,125
2,0.7,1,M_D_1,0.49356434353683226,0.4931694746237155,0.493959212449949,0.5112708099199869,150
4,0.7,1,M_D_1,0.1903246759180259,0.18980988973264828,0.19083946210340352,0.11602006815211113,10
4,0.7,1,M_D_1,0.190178397871097,0.18985393363010133,0.19050286211209266,0.11505320404246554,25
4,0.7,1,M_D_1,0.1897880911533439,0.18955934340447933,0.1900168389022085,0.11442949884591634,50
4,0.7,1,M_D_1,0.18937831820928205,0.18919213228731957,0.18956450413124454,0.11371196963048351,75
4,0.7,1,M_D_1,0.19031745443247977,0.19015539182193922,0.19047951704302032,0.1149188562538312,100
4,0.7,1,M_D_1,0.1898324050705338,0.18968782474337598,0.18997698539769164,0.11429658119976513,125
4,0.7,1,M_D_1,0.1903750736730017,0.19024272621946015,0.19050742112654323,0.11496054118523394,150
1,0.8,1,M_D_1,2.040278214568718,2.0335447337729065,2.04701169536453,5.677942164883374,10
1,0.8,1,M_D_1,1.9874493878840973,1.9833380113428551,1.9915607644253395,5.275808518387142,25
1,0.8,1,M_D_1,1.9924622487342578,1.9895419127490896,1.995382584719426,5.326429664585003,50
1,0.8,1,M_D_1,1.99502214069467,1.992650558095156,1.997393723294184,5.268919665513788,75
1,0.8,1,M_D_1,1.9934237853759034,1.991367596373122,1.9954799743786846,5.284269738188434,100
1,0.8,1,M_D_1,1.9985178194786715,1.9966700020126125,2.0003656369447307,5.331167188235788,125
1,0.8,1,M_D_1,2.0067991261540983,2.005106969565123,2.0084912827430736,5.369808977005087,150
2,0.8,1,M_D_1,0.9031646026834247,0.9008453125287156,0.9054838928381338,1.343290835131512,10
2,0.8,1,M_D_1,0.9064021110456563,0.9049542045347878,0.9078500175565247,1.3101921035103994,25
2,0.8,1,M_D_1,0.9031970569167185,0.9021742182240227,0.9042198956094143,1.306703768981427,50
2,0.8,1,M_D_1,0.9024615455533239,0.9016276811119899,0.903295409994658,1.3029767017818035,75
2,0.8,1,M_D_1,0.8984001482353602,0.8976809500233148,0.8991193464474055,1.2917197461190681,100
2,0.8,1,M_D_1,0.9040982448106555,0.9034511963080593,0.9047452933132517,1.3080160636678533,125
2,0.8,1,M_D_1,0.9033081602291285,0.9027185829143447,0.9038977375439123,1.303066336469188,150
4,0.8,1,M_D_1,0.3861845057253145,0.38539639436990125,0.3869726170807277,0.3104003567706093,10
4,0.8,1,M_D_1,0.3879638555640953,0.38746147141585596,0.3884662397123346,0.3155167283097165,25
4,0.8,1,M_D_1,0.38605077222902395,0.38569759900276435,0.38640394545528356,0.3117270957174426,50
4,0.8,1,M_D_1,0.3872903834165135,0.3870016849667732,0.38757908186625384,0.3125702898886468,75
4,0.8,1,M_D_1,0.3858444933728007,0.3855950057785077,0.3860939809670937,0.31109625427345816,100
4,0.8,1,M_D_1,0.3859830173235128,0.3857595066429633,0.3862065280040623,0.31207825798504324,125
4,0.8,1,M_D_1,0.3865698428648538,0.38636579142459565,0.38677389430511194,0.3121065246685735,150
1,0.9,1,M_D_1,4.603534744636023,4.590290465129463,4.616779024142582,24.69101901155408,10
1,0.9,1,M_D_1,4.418991339880683,4.4109834479880705,4.426999231773295,22.521288879440966,25
1,0.9,1,M_D_1,4.49664738972683,4.49087818295523,4.5024165964984295,23.389272686610255,50
1,0.9,1,M_D_1,4.470717472805371,4.466077662649873,4.47535728296087,22.695575656395402,75
1,0.9,1,M_D_1,4.46724923987857,4.463207544321701,4.471290935435439,22.9372121683912,100
1,0.9,1,M_D_1,4.547748384119007,4.544061170401749,4.5514355978362655,23.896607759353195,125
1,0.9,1,M_D_1,4.512884541959432,4.509562959806693,4.516206124112171,23.273012414746468,150
