n=4, rho=0.7000000000000001, Runs: 200, Mean Waiting Time: 0.35668736886764585, CI: (0.35645650913027715, 0.35691822860501454), Variance: 0.46607762411784914
n=1, rho=0.8, Runs: 100, Mean Waiting Time: 4.022172352896419, CI: (4.017777137844758, 4.02656756794808), Variance: 24.173217327415344
n=1, rho=0.8, Runs: 200, Mean Waiting Time: 3.991808537492181, CI: (3.988698311492946, 3.9949187634914156), Variance: 24.167604029911615
n=2, rho=0.8, Runs: 100, Mean Waiting Time: 1.7706958089355664, CI: (1.7691892493991177, 1.7722023684720152), Variance: 5.672357556800399
n=2, rho=0.8, Runs: 200, Mean Waiting Time: 1.7797913693145646, CI: (1.7787195582139304, 1.7808631804151989), Variance: 5.7404739159243725
n=4, rho=0.8, Runs: 100, Mean Waiting Time: 0.747518250030386, CI: (0.7470047033719449, 0.748031796688827), Variance: 1.3179430655110353
n=4, rho=0.8, Runs: 200, Mean Waiting Time: 0.7428952746360957, CI: (0.7425357309246352, 0.7432548183475562), Variance: 1.2918685245855979
n=1, rho=0.9, Runs: 100, Mean Waiting Time: 8.987571361420184, CI: (8.97923135650896, 8.995911366331407), Variance: 97.77568799581324
n=1, rho=0.9, Runs: 200, Mean Waiting Time: 8.995573650968542, CI: (8.989678629947694, 9.00146867198939), Variance: 97.68173748267856
n=2, rho=0.9, Runs: 100, Mean Waiting Time: 4.241272226705432, CI: (4.238346824693799, 4.244197628717064), Variance: 24.055116053904975
n=2, rho=0.9, Runs: 200, Mean Waiting Time: 4.267828649262722, CI: (4.26574116550958, 4.269916133015865), Variance: 24.501025668417622
n=4, rho=0.9, Runs: 100, Mean Waiting Time: 1.971356549303137, CI: (1.9703286328410654, 1.9723844657652088), Variance: 5.942657737097638
n=4, rho=0.9, Runs: 200, Mean Waiting Time: 1.9711560271098194, CI: (1.9704277981303338, 1.971884256089305), Variance: 5.963042550517813
