n,rho,mu,mean_waiting_time,ci_lower,ci_upper,variance,runs
1,0.7,1,2.3797135913263117,2.3698100672263203,2.389617115426303,10.72160517764294,10
1,0.7,1,2.3347275052926038,2.3304180522596805,2.339036958325527,10.149636011693417,50
1,0.7,1,2.329902835444091,2.3268598764497583,2.3329457944384235,10.119850539778998,100
2,0.7,1,0.9627621229232848,0.9595150502323383,0.9660091956142313,2.3063904952988006,10
2,0.7,1,0.9589702888337884,0.957531731879194,0.9604088457883828,2.263222341000789,50
2,0.7,1,0.9607568644444541,0.9597396312822357,0.9617740976066724,2.26200217633853,100
4,0.7,1,0.35459838220275486,0.3535696824649042,0.3556270819406055,0.4621520855925203,10
4,0.7,1,0.3581846530923885,0.35772040031112406,0.35864890587365295,0.471226047535316,50
4,0.7,1,0.35772756777258446,0.357399217521243,0.35805591802392595,0.47144352822559343,100
1,0.8,1,4.0702953572322516,4.056128222371476,4.084462492093027,25.084243543825878,10
1,0.8,1,3.9807408479587245,3.9745766991096794,3.9869049968077697,23.730230005055635,50
1,0.8,1,4.017083926643487,4.0126565721399166,4.021511281147057,24.49006342555114,100
2,0.8,1,1.7788790021311196,1.7740902818541706,1.7836677224080686,5.734326751748764,10
2,0.8,1,1.7779536171652097,1.7758178327771608,1.7800894015532587,5.699978572377189,50
2,0.8,1,1.787744331575889,1.7862177924750509,1.789270870676727,5.823610833119495,100
4,0.8,1,0.7399474098666138,0.7383456448492789,0.7415491748839487,1.2817797909241782,10
4,0.8,1,0.7501054370076375,0.7493796251104508,0.7508312489048243,1.3168652745276856,50
4,0.8,1,0.7449111525803678,0.7444005984917009,0.7454217066690346,1.302765980203766,100
1,0.9,1,8.958530108585554,8.931822061157144,8.985238156013965,99.99184742547808,10
1,0.9,1,9.033870022329769,9.021877523091113,9.045862521568424,101.06707544324023,50
1,0.9,1,8.95654600061523,8.948222124132164,8.964869877098296,97.38390568240445,100
2,0.9,1,4.233582217066946,4.224272171625566,4.242892262508326,24.31442628384752,10
2,0.9,1,4.235776388081108,4.231663982390635,4.2398887937715815,23.753566844147496,50
2,0.9,1,4.240659894677735,4.237732864768146,4.243586924587325,24.08546829367747,100
4,0.9,1,1.9177540090468679,1.9145754039175735,1.9209326141761622,5.6743040085046585,10
4,0.9,1,1.959728952414843,1.9582929385132908,1.961164966316395,5.7993340935611615,50
4,0.9,1,1.9704867411334295,1.969454365863081,1.971519116403778,5.993040915367663,100
1,0.95,1,18.99089598814002,18.94103007091539,19.040761905364654,368.7462468346868,10
1,0.95,1,18.30868399549245,18.286056815844123,18.33131117514078,379.7944886731986,50
1,0.95,1,18.405072389883067,18.389318322531313,18.42082645723482,367.8922185312122,100
2,0.95,1,9.24397094721924,9.225032164852413,9.262909729586069,106.44862208680651,10
2,0.95,1,9.114985808180446,9.10709165446965,9.122879961891242,92.4744911845251,50
2,0.95,1,9.118391849786427,9.112680953251934,9.12410274632092,96.7346541331158,100
4,0.95,1,4.484562066085677,4.4778637546406586,4.491260377530695,26.638537699920036,10
4,0.95,1,4.461907530003763,4.459043261458335,4.46477179854919,24.34314291505608,50
4,0.95,1,4.365742735888042,4.363745882466188,4.367739589309896,23.66681476571555,100
1,0.99,1,99.71707336237938,99.4037765362535,100.03037018850526,15166.879048597855,10
1,0.99,1,85.26894557580583,85.17766169728682,85.36022945432484,6434.935278946784,50
1,0.99,1,87.18316218944524,87.10952655400328,87.2567978248872,8367.335458765465,100
2,0.99,1,45.44540036615103,45.36691405530199,45.523886677000064,1903.113292124821,10
2,0.99,1,44.80000071030431,44.76154914809152,44.8384522725171,2283.9159227839846,50
2,0.99,1,46.11458611957853,46.08853580914717,46.1406364300099,2096.892452378663,100
4,0.99,1,18.792960565671294,18.770505697271386,18.815415434071202,311.4205603592949,10
4,0.99,1,25.243864848191947,25.228782031888457,25.258947664495437,703.47590432243,50
4,0.99,1,23.419579982102253,23.41006490465493,23.429095059549574,559.7860447411343,100
